split,label,count,is_se,label_id
test,0,354,1,-1
test,1,354,1,-1
test,2,354,1,-1
test,3,354,1,-1
test,4,354,1,-1
test,5,354,1,-1
test,6,354,1,-1
test,7,354,1,-1
test,8,354,1,-1
test,9,354,1,-1
test,10,354,1,-1
test,11,354,1,-1
train,0,1655,1,-1
train,1,1655,1,-1
train,2,1655,1,-1
train,3,1655,1,-1
train,4,1655,1,-1
train,5,1655,1,-1
train,6,1655,1,-1
train,7,1655,1,-1
train,8,1655,1,-1
train,9,1655,1,-1
train,10,1655,1,-1
train,11,1655,1,-1
validation,0,354,1,-1
validation,1,354,1,-1
validation,2,354,1,-1
validation,3,354,1,-1
validation,4,354,1,-1
validation,5,354,1,-1
validation,6,354,1,-1
validation,7,354,1,-1
validation,8,354,1,-1
validation,9,354,1,-1
validation,10,354,1,-1
validation,11,354,1,-1
